Qvector_A	Intensity	Uncertainty
0.0025	8.405662224910433	1.50809835160958
0.00257871115	8.133396687041483	2.335698579066401
0.00265990047	8.378489494265214	1.942657343774785
0.002743646	7.474861073849658	1.774874210279447
0.00283002821	8.17036036841534	1.699075369883243
0.00291913012	8.102685544321728	1.381039491345994
0.00301103735	8.00471111631701	1.318938099753904
0.00310583823	7.934691625380896	1.381993623213076
0.00320362387	7.782288097484191	0.976973480932134
0.00330448823	7.683291062805978	0.9884949800943704
0.00340852826	7.537932416792424	0.9844965213302391
0.00351584393	7.468928854301458	0.7694445106717197
0.00362653837	7.332031374824663	0.7154321721282442
0.00374071797	7.189157384389715	0.8040924713300617
0.00385849245	7.07563575794535	0.5818829437945183
0.003979975	6.869308256285255	0.6000126762458428
0.00410528236	6.720972227605671	0.5118964904886312
0.00423453495	6.537752825099717	0.5085905044118235
0.00436785699	6.409219789844375	0.466462747751162
0.00450537661	6.182427845201517	0.3968063989814428
0.00464722595	5.964569115082142	0.4337406890726292
0.00479354135	5.83607749826897	0.3426223995890845
0.0049444634	5.565871046440279	0.3517309284996839
0.00510013716	5.378260314981262	0.3028130989110019
0.00526071222	5.216450042884114	0.2866959492049492
0.0054263429	4.963183677275676	0.2624534319056731
0.00559718837	4.721718754444655	0.2452055972876787
0.00577341281	4.528568823467355	0.2046801734732238
0.00595518559	4.277846308351673	0.2225453179992958
0.00614268139	4.028645733246247	0.1737388091403138
0.00633608039	3.827723637362598	0.1709852894263341
0.00653556845	3.585127482850281	0.152890085459208
0.00674133729	3.337658552007711	0.131767950051564
0.00695358465	3.109592599778459	0.1262396626748473
0.0071725145	2.882537022641644	0.1136800445045988
0.00739833724	2.659858010603143	0.09704382143031497
0.00763126988	2.447921549122726	0.09217222642378829
0.00787153629	2.214649061424371	0.07834847557919761
0.00811936735	2.006443671181705	0.070836911023084
0.008375001240000001	1.805828636832743	0.06138361154360069
0.00863868362	1.605851902983462	0.0541993980961985
0.0089106679	1.432687779304293	0.04794136666422175
0.009191215460000001	1.263482601394041	0.04121991713964744
0.0094805959	1.112266685234739	0.03509597867690752
0.009779087339999999	0.9496899739913102	0.02897939354543806
0.0100869766	0.816652697730105	0.02430340047182447
0.0104045596	0.6928261407214925	0.02064160516009689
0.0107321415	0.5793445825363676	0.01726617368420571
0.0110700372	0.4782274820147502	0.0142432747841405
0.0114185713	0.3910329040771085	0.01186246171811931
0.0117780789	0.31656702630752	0.009881572626034767
0.0121489053	0.2581839239376056	0.008389018010307224
0.012531407	0.2025378910595841	0.0070410146842453
0.0129259516	0.164004886812621	0.005976045763816422
0.0133329182	0.1308754258406506	0.004990534454596206
0.0137526979	0.1065765151843523	0.004350252288321058
0.0141856942	0.08708247850742895	0.003814288428596436
0.0146323231	0.07542699182405593	0.00333634210905212
0.0150930139	0.06614116731546565	0.003034188639834879
0.0155682092	0.06040790000533827	0.002659021261597864
0.0160583659	0.05353769437950831	0.002484778692213318
0.0165639548	0.05270864955162442	0.002229932182559229
